"","year","species","site","date","julian","light_category","hours","type","yreffort","siteyreffort","siteeffort","effort"
"1",2013,"AMRO","flood",2013-08-14,226,"day",5,"Band",266.5,92.2,1150.97994,1993.66254
"2",2013,"AMRO","flood",2013-08-14,226,"day",5,"Band",266.5,92.2,1150.97994,1993.66254
"3",2013,"CHSP","flood",2013-08-14,226,"day",5,"Band",266.5,92.2,1150.97994,1993.66254
"4",2013,"YEWA","flood",2013-08-14,226,"day",5,"Band",266.5,92.2,1150.97994,1993.66254
"5",2013,"PISI","sheep",2013-08-15,227,"day",4,"Band",266.5,79.1,432.474,1993.66254
"6",2013,"RBNU","sheep",2013-08-15,227,"day",4,"Band",266.5,79.1,432.474,1993.66254
"7",2013,"RBNU","sheep",2013-08-15,227,"day",4,"Band",266.5,79.1,432.474,1993.66254
"8",2013,"CHSP","ridge",2013-08-16,228,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"9",2013,"VESP","ridge",2013-08-16,228,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"10",2013,"CHSP","flood",2013-08-21,233,"day",5,"Band",266.5,92.2,1150.97994,1993.66254
"11",2013,"SWTH","flood",2013-08-21,233,"day",5,"Band",266.5,92.2,1150.97994,1993.66254
"12",2013,"YEWA","flood",2013-08-21,233,"day",5,"Band",266.5,92.2,1150.97994,1993.66254
"13",2013,"CHSP","ridge",2013-08-21,233,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"14",2013,"CHSP","ridge",2013-08-21,233,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"15",2013,"RBNU","ridge",2013-08-21,233,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"16",2013,"WIWA","ridge",2013-08-21,233,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"17",2013,"WIWA","ridge",2013-08-21,233,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"18",2013,"WIWA","ridge",2013-08-21,233,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"19",2013,"YEWA","flood",2013-08-22,234,"day",5,"Band",266.5,92.2,1150.97994,1993.66254
"20",2013,"YEWA","flood",2013-08-22,234,"day",5,"Band",266.5,92.2,1150.97994,1993.66254
"21",2013,"NOWA","flood",2013-08-22,234,"day",5,"Band",266.5,92.2,1150.97994,1993.66254
"22",2013,"WIWA","sheep",2013-08-22,234,"day",3.9,"Band",266.5,79.1,432.474,1993.66254
"23",2013,"LAZB","ridge",2013-08-23,235,"day",4.55,"Band",266.5,95.2,410.2086,1993.66254
"24",2013,"CHSP","ridge",2013-08-23,235,"day",4.55,"Band",266.5,95.2,410.2086,1993.66254
"25",2013,"CHSP","ridge",2013-08-23,235,"day",4.55,"Band",266.5,95.2,410.2086,1993.66254
"26",2013,"AMRO","sheep",2013-08-23,235,"day",4,"Band",266.5,79.1,432.474,1993.66254
"27",2013,"AMRO","sheep",2013-08-23,235,"day",4,"Band",266.5,79.1,432.474,1993.66254
"28",2013,"VESP","sheep",2013-08-23,235,"day",4,"Band",266.5,79.1,432.474,1993.66254
"29",2013,"WIWA","flood",2013-08-28,240,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"30",2013,"LISWSP","flood",2013-08-28,240,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"31",2013,"WIWA","flood",2013-08-28,240,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"32",2013,"YEWA","flood",2013-08-28,240,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"33",2013,"YEWA","flood",2013-08-28,240,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"34",2013,"YEWA","flood",2013-08-28,240,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"35",2013,"WIWA","ridge",2013-08-28,240,"day",4.6,"Band",266.5,95.2,410.2086,1993.66254
"36",2013,"RBNU","sheep",2013-08-28,240,"day",4,"Band",266.5,79.1,432.474,1993.66254
"37",2013,"RBNU","sheep",2013-08-28,240,"day",4,"Band",266.5,79.1,432.474,1993.66254
"38",2013,"YRWA","flood",2013-08-29,241,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"39",2013,"YRWA","flood",2013-08-29,241,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"40",2013,"YRWA","flood",2013-08-29,241,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"41",2013,"YRWA","flood",2013-08-29,241,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"42",2013,"YRWA","flood",2013-08-29,241,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"43",2013,"YRWA","flood",2013-08-29,241,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"44",2013,"YRWA","flood",2013-08-29,241,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"45",2013,"YRWA","flood",2013-08-29,241,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"46",2013,"YRWA","flood",2013-08-29,241,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"47",2013,"YRWA","flood",2013-08-29,241,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"48",2013,"COYE","flood",2013-08-29,241,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"49",2013,"RBNU","flood",2013-08-29,241,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"50",2013,"RBNU","flood",2013-08-29,241,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"51",2013,"CHSP","ridge",2013-08-29,241,"day",4.85,"Band",266.5,95.2,410.2086,1993.66254
"52",2013,"LAZB","ridge",2013-08-29,241,"day",4.85,"Band",266.5,95.2,410.2086,1993.66254
"53",2013,"RBNU","sheep",2013-08-29,241,"day",4,"Band",266.5,79.1,432.474,1993.66254
"54",2013,"RBNU","sheep",2013-08-29,241,"day",4,"Band",266.5,79.1,432.474,1993.66254
"55",2013,"VESP","sheep",2013-08-29,241,"day",4,"Band",266.5,79.1,432.474,1993.66254
"56",2013,"AMRO","sheep",2013-08-29,241,"day",4,"Band",266.5,79.1,432.474,1993.66254
"57",2013,"RBNU","sheep",2013-08-29,241,"day",4,"Band",266.5,79.1,432.474,1993.66254
"58",2013,"SWTH","sheep",2013-08-29,241,"day",4,"Band",266.5,79.1,432.474,1993.66254
"59",2013,"WIWA","sheep",2013-08-29,241,"day",4,"Band",266.5,79.1,432.474,1993.66254
"60",2013,"WIWA","sheep",2013-08-29,241,"day",4,"Band",266.5,79.1,432.474,1993.66254
"61",2013,"RBNU","flood",2013-08-30,242,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
